Product url,Product name,Price,Rating,Number of Reviews,Product Discription,ASIN,Manufacturer
amazon.in/American-Tourister-AMT-SCH-02/dp/B07CJCGM1M/ref=sr_1_3?crid=2M096C61O4MLT&keywords=bags&qid=1658591075&smid=AXOGFIT0PZZ7G&sprefix=ba%2Caps%2C283&sr=8-3,American Tourister Casual Backpack  ,"1,099",4.1 out of 5 stars,"42,636","[' Laptop Compatibility: No, Strap Type: Adjustable, Trolley Support: No. With Rain Cover : No  ', ' Outer Material: Polyester, Color: Black  ', ' Water Resistance: Water resistant , not Waterproof  ', ' Capacity: 32 liters; Dimensions: 32.5 cms x 18 cms x 50 cms (LxWxH)  ', ' Number of Wheels: 0, Number of compartments: 3  ', ' Warranty type: Manufacturer; 1 year International warranty valid for 1 year from the original date of  ', ' Mesh pockets on both sides to accommodate your sipper or bottle and umbrella  ']",B07CJCGM1M,Visit the American Tourister Store
amazon.in/Half-Moon-Waterproof-Backpack-Students/dp/B085MHDJ93/ref=sr_1_omk_4?crid=2M096C61O4MLT&keywords=bags&qid=1658591075&sprefix=ba%2Caps%2C283&sr=8-4,Half Moon 35 L Casual Waterproof Laptop Bag/Backpack for Men Women Boys Girls/Office School College Teens & Students with Rain Cover (18 Inch) (Navy)  ,729,3.9 out of 5 stars,"11,188","[' SPACIOUS AND LIGHTWEIGHT: Light weight and spacious laptop backpack with 3 compartments. One compartment is for carrying laptop inside (Upto 17 inches), with padding for safety, and space for laptop accessories like charger, etc. Second large compartment for books, files and all your day to day essentials. And third compartment is for your extra stuff. It has provision for holding bottles on both sides and has padded shoulder straps for your comfort  ', ' COMFORT WITH QUALITY: This casual bag has Wide, Padded and Adjustable shoulder straps and Padded Back for comfort in carrying heavy items. Stitched properly and Bartacks on every pressure point for extra durability. Made with strong yet light weight polyester fabric with heavy zippers. Serves the need of a professional office laptop bag, college bag, student backpack, school bag and is suitable for all, i.e. boys, girls, menं and womenं  ', ' PREMIUM FABRIC : Premium Polyester, Stylish and durable backpack for school /college and travel. Easily accommodate a laptop. Size: 45 cm X 31 cm X 22 cm  ', ' BACK SUPPORT: We have designed the bag keeping your comfort in mind. Shoulder has high density padding, with 3D ventilated air foam padding to prevent sweating when you use the bag & to help you lift heavy objects easily.  ', ' OTHER FEATURES: Strong and durable zippers, Adjustable Shoulder Handles (Straps) , 2 Bottle/Umbrella holders , Padded Handle , Padded Laptop Compartment (can carry laptops of size 13, 14, 15.6 & 17 inches), Reflector Logo.  ']",B085MHDJ93,Brand: Half Moon
amazon.in/TRUE-HUMAN-Anti-Theft-backpack-charging/dp/B09QJ7ZF2Y/ref=sr_1_5?crid=2M096C61O4MLT&keywords=bags&qid=1658591075&sprefix=ba%2Caps%2C283&sr=8-5,"TRUE HUMAN Emperor Anti-Theft backpack With USB charging Port and anti -theft back pocket Laptop bag , office bag , college bag ( LEGEND )  ",699,3.9 out of 5 stars,480,"[' ➧ Superior & Durability: Made of durable and Eco-friendly water resistant oxford textile fabric,which keeps your files and stuffs dry inside. This backpack can hold up to 15.6"" laptop from most brands, but it may not be suitable for all brand 15.6"". Since there maybe exist slight size difference among different laptop brands.  ', ' Style Name: Traditional Backpacks; Pocket Description: Utility Pocket  ', ' ➧ PREMIUM MATERIAL: Made from high quality, waterproof Polyester material in grey color. Premium quality smooth zippers, pullers, buckles.  ', ' Highly Water Resistant Material: This Backpack is water-resistant. The material is the reversed side of 1680D special polyester, which is waterproof, tear-resistant, anti-scratch and built for lasting durability.  ']",B09QJ7ZF2Y,Rama luxury store
amazon.in/Martucci-Casual-Travelling-Laptop-Backpack/dp/B088B4P6ZW/ref=sr_1_6?crid=2M096C61O4MLT&keywords=bags&qid=1658591075&sprefix=ba%2Caps%2C283&sr=8-6,Martucci 15.6 inch 30 L Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack(Black)  ,549,4.1 out of 5 stars,"4,218","[' SPACIOUS AND LIGHTWEIGHT: Light weight and spacious 30L Laptop backpack 2 Main Compartment and 1 Front Pocket with Two Side Water Bottle Pocket.  ', ' COMFORT WITH QUALITY: This casual bag has Wide, Padded and Adjustable shoulder straps and Padded Back for comfort in carrying heavy items. Stitched properly and Barracks on every pressure point for extra durability. Made with strong yet light weight polyester fabric with heavy zippers. Serves the need of a professional office laptop bag, college bag, student backpack, school bag and is suitable for all boys, girls, men and women.  ', ' PREMIUM FABRIC : Polyester, Closure Type: Zipper, Gender: Unisex Size: 46 cm X 33 cm X 20cm.  ', ' BACK SUPPORT: Air Mash foam padding to prevent sweating when you use the bag & to help you lift heavy objects easily.  ', ' OTHER FEATURES: Laptop Compartment (can carry laptops of size 15.6 & 17 inches), Reflective Strip makes it very useful for Bike Riders at Night.  ']",B088B4P6ZW,Visit the Martucci Store
amazon.in/Lunars-Bingo-Laptop-Resistant-48L/dp/B08YZ5XY31/ref=sr_1_7?crid=2M096C61O4MLT&keywords=bags&qid=1658591075&sprefix=ba%2Caps%2C283&sr=8-7,Lunar's Bingo - 48 L Laptop Office/School/Travel/Business Backpack Water Resistant - Fits Up to 15.6 Inch Laptop Notebook with 1 Year Warranty  ,899,3.9 out of 5 stars,"7,240","[' ?WATER RESISTANT WITH 1 YEAR WARRANTY - Stylish and durable unisex travel laptop backpack that is your perfect travel partner. Size: 20 inch X 13.5 inch X 9.5 inch. Capacity : 48 liters. Backpack is made of high grade water resistant polyester material that gives it strength and durable for long-term use. 12 months warranty for any manufacturing defects  ', ' ?MADE IN INDIA - This “MAKE IN INDIA” Product features 3 large zippered compartments, 1 zip pocket at front, 2 side bottle pockets. This is a perfect laptop, office, school, college bag for men, women, boys and girls  ', ' ?PADDED LAPTOP SLEEVE AND INTERNAL ORGANISER : Padded Laptop sleeve with holder to secure upto 15.6"" Laptops. Compatible with laptops like HP / Lenovo / Acer / ASUS / Dell. Internal organiser to neatly organise and store your keys, cables, stationary and other valuables from theft  ', ' ?1 YEAR WARRANTY - We offer 1 Year warranty for any manufacturing defects; ?BEST BACK SUPPORT - We have designed the bag keeping your comfort in mind. Shoulder has 12MM high density padding, with 3D ventilated air foam padding to prevent sweating when you use the bag; Pattern Name: Solid; Age Range Description: Adult; Color Name: Mblue; Special Features: Laptop Compartment  ', ' Pattern Name: Solid; Age Range Description: Adult  ']",B08YZ5XY31,Visit the Lunar's Store
amazon.in/Northzone-Polyester-School-Backpack-Compartment/dp/B08678P2T7/ref=sr_1_8?crid=2M096C61O4MLT&keywords=bags&qid=1658591075&sprefix=ba%2Caps%2C283&sr=8-8,Northzone Lightweight School Bags Backpacks for Boys Girls Stylish Men and Women Casual Travel Laptop Bag College Office (Navy Blue) 40L  ,599,4.1 out of 5 stars,"3,126","[' COMPATIBLE WITH 15.6 INCH LAPTOP”: The Northzone Backpack fits up to 15.6 inch laptop. Dimensions: 34cm x 15cm x 45.5cm; Weight: 499g; HIGH QUALITY, DURABLE AND WATER REPELLANT FABRIC”: This backpack features in durable snow yarn polyester fabric and streamlined design with a padded interior to protect notebooks and important items  ', ' CONVENIENT TRAVEL"" Adjustable shoulder strap and padded laptop compartment together with a quilted back panel make it comfortable for all-day use  ', ' CONVENIENTLY PLACED PADDED LAPTOP COMPARTMENTS AND POCKETS: The padded interior helps protect notebooks and important items. Quick access zippered front pocket for added storage. A quilted back panel make it comfortable for all-day use.  ', ' HIGH QUALITY, CASUAL YET STYLISH DESIGN"": very attractive and perfect for school, travel and outdoor activities. The perfect backpack for those needing stylish all-day protection for their laptop.; Pattern Name: Solid; Closure Type: Zipper; Age Range Description: Kid; Pocket Description: Utility Pocket  ']",B08678P2T7,Brand: Northzone
amazon.in/POLESTAR-Vintage-Laptop-Backpack-bagpack/dp/B081GSQ9D9/ref=sr_1_9?crid=2M096C61O4MLT&keywords=bags&qid=1658591075&smid=A3HBYWQBT33AGW&sprefix=ba%2Caps%2C283&sr=8-9,"POLESTAR Vintage 32 L College/ School/ Office/ Casual/ Travel Backpack with 15.6"" laptop compartment, suitable for both men & women,1 year warranty  ",567,4.0 out of 5 stars,"6,171","[' ✅DIMENSIONS: 32 Cm x 20 Cm x 44 Cm, CAPACITY: 32 Litres  ', ' ✅NUMBER OF COMPARTMENTS: 2 full size compartments, 1 front zippers & 2 side pockets, LAPTOP COMPARTMENT: Padded laptop compartment with elasticated strap lock, LAPTOP SIZE: 13 to 15 inches  ', ' ✅MATERIAL: Polyester & Faux Leather, COLOR: Black  ', ' ✅SPECIAL FEATURES: Ergonomic design, lightweight, padded breathable mesh back with adjustable S-Curved shoulder straps which protects the backbone and help to relieve stress on shoulders, smooth & durable zippers, padded haul loop, 2 bottle/ umbrella easy access pockets, 1 front stationary pockets  ', ' ✅CONSUMER: Suitable for men, women, students, boys & girls, can be used as school, college, office or day travelling backpacks, WARRANTYy: 12 Months, Make in India product  ']",B081GSQ9D9,Visit the POLESTAR Store
amazon.in/Backpack-Fashion-Computer-Business-Black-BlueZip/dp/B08R7J19R8/ref=sr_1_10?crid=2M096C61O4MLT&keywords=bags&qid=1658591075&sprefix=ba%2Caps%2C283&sr=8-10,Wooum 15.6 inch Laptop Bag Backpack Fashion Rucksack Casual Student School Bag Computer Bag College Bag Office Bag Business Bag Unisex Travel Backpack  ,468,4.0 out of 5 stars,"1,454","[' 15.6 Laptop backpack comes with One main Compartment , One Front Compartment for accessories such as a Lunch box, Charger, Tablet, Books, Power Bank, Wallet, and Sunglass.  ', ' Adjustable shoulder strap and padded laptop compartment together with a quilted back panel make it comfortable for all-day use. Features Water bottle holder, water resistant, zippered front pocket, reflective elements, foam padded laptop compartment; Compact and Easy to Carry: Being lightweight, this bag can be comfortably carried with the handle  ', ' The padded interior helps protect notebooks and important items. Quick access zippered front pocket for added storage. A quilted back panel make it comfortable for all-day use. Yet lightweight protective cushioning to ensure your laptop will remain safe from drops, bumps, dents, scratches and spills, like the car airbag  ', ' Bag is perfect to carry laptops notebook up to 15.6 inch include 2019 New MacBook Pro 16 , MacBook Pro (Retina) 15, and other 14-15.6 inch Dell XPS / HP; Style Name: Rucksack  ']",B08R7J19R8,Visit the wooum Store
amazon.in/POLESTAR-Casual-bagpack-School-Backpack/dp/B07PQQ8M7B/ref=sr_1_13?crid=2M096C61O4MLT&keywords=bags&qid=1658591075&smid=A3HBYWQBT33AGW&sprefix=ba%2Caps%2C283&sr=8-13,"POLESTAR Noble 32 L College/ School/ Office/ Casual/ Travel Backpack with 15.6"" laptop compartment, made with polyester, 1 year warranty  ",585,4.0 out of 5 stars,"15,694","[' ✅DIMENSIONS: 31 Cm x 22 Cm x 45 Cm, CAPACITY: 32 Litres  ', ' ✅NUMBER OF COMPARTMENTS: 3 full size compartments & 2 side pockets, LAPTOP COMPARTMENT: Padded laptop compartment with elasticated strap lock, LAPTOP SIZE: 13 to 15.6 inches  ', ' ✅MATERIAL: Polyester, Water Resistant, COLOR: Navy Blue  ', ' ✅SPECIAL FEATURES: Ergonomic design, lightweight, padded breathable mesh back with adjustable straps, smooth & durable zippers, padded haul loop, 2 bottle/ umbrella easy access pockets  ', ' ✅CONSUMER: Suitable for men, women, students, boys & girls, can be used as school, college, office or day travelling backpacks, WARRANTY: 12 Months, Make in India product  ']",B07PQQ8M7B,Visit the POLESTAR Store
amazon.in/Backpack-Small-Black-Water-Repellant/dp/B088XB5XY8/ref=sr_1_14?crid=2M096C61O4MLT&keywords=bags&qid=1658591075&smid=A14CZOWI0VEHLG&sprefix=ba%2Caps%2C283&sr=8-14,"Mi Step Out 12 L Mini Backpack (Small Size, Black, Water Repellant)  ",249,4.1 out of 5 stars,"3,207","[' Made of multi-coated 600D polyester Material ; Water Repellent  ', ' Dimension: 26cm x 38cm x 14cm (LxWxH); Weight : 200 grams; Capacity: 12liters  ', ' Small Size backpack; Laptop Compatibility: No  ', ' This backpack comes with 2 zipper pockets that can house a notebook, gym gear, travel essentials and more  ', ' With contra zippers and adjustable straps this light weight backpack is the ideal companion while at the airport or hitting the gym or exploring new city or using it as a carrier for books  ', ' 6 months limited warranty  ']",B088XB5XY8,Visit the MI Store
